CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,rda. de Ponent,132,EMPATIF,activitat_econòmica,Altres activitats de suport a les empreses ncaa,41.547,2.11193,,,,sabadellempresa.cat,EL CENTRE,1,"rda. de Ponent, 132 1 Bxs 1a",Altres activitats de suport a les empreses ncaa
,c. de Zurbano,3,ENCARNA PERRUQUERIA ESTETICA,activitat_econòmica,Perruqueria i altres tractaments de bellesa,41.5461,2.11726,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Zurbano, 3 Bxs 7a",Perruqueria i altres tractaments de bellesa
,c. de Sant Josep,36,ENDERROCS SL,activitat_econòmica,Demolició d'immobles,41.5487,2.10844,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Josep, 36 Bxs 1a",Demolició d'immobles
,c. de Sallarès i Pla,6,ENDESA,activitat_econòmica,Altres activitats de suport a les empreses ncaa,41.5455,2.10938,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sallarès i Pla, 6 Bxs",Altres activitats de suport a les empreses ncaa
,c. de l' Escola Industrial,8,EOS JOIERIA,activitat_econòmica,Comerç al detall d'articles de rellotgeria i joieria en establiments especialitz,41.5508,2.10162,,,,sabadellempresa.cat,EL CENTRE,1,"c. de l' Escola Industrial, 8 Bxs B",Comerç al detall d'articles de rellotgeria i joieria en establiments especialitzats
,Rambla,178,EQUIVALENZA,activitat_econòmica,Comerç al detall de productes cosmètics i higiènics en establiments especialitza,41.5495,2.09818,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 178 Bxs 1a",Comerç al detall de productes cosmètics i higiènics en establiments especialitzats
,c. de Montserrat,176,ESCAPA,activitat_econòmica,Reparació d'efectes personals i articles d'ús domèstic ncaa,41.5458,2.10876,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Montserrat, 176 Bxs 1a",Reparació d'efectes personals i articles d'ús domèstic ncaa
,c. de Margenat,42,ESCLAT,activitat_econòmica,"Comerç al detall, amb predomini de productes alimentaris, begudes i tabac en est",41.5465,2.10971,,,,sabadellempresa.cat,HOSTAFRANCS,1,"c. de Margenat, 42 Bxs","Comerç al detall, amb predomini de productes alimentaris, begudes i tabac en establiments no especialitzats"
,c. de Joaquín Costa,57,ESCODA,activitat_econòmica,"Fabricació d'escombres, brotxes i raspalls",41.5493,2.10868,,,,sabadellempresa.cat,HOSTAFRANCS,1,"c. de Joaquín Costa, 57 Bxs","Fabricació d'escombres, brotxes i raspalls"
,c. de Joaquín Costa,55,ESCODA,activitat_econòmica,"Fabricació d'escombres, brotxes i raspalls",41.5444,2.10919,,,,sabadellempresa.cat,HOSTAFRANCS,1,"c. de Joaquín Costa, 55 Bxs","Fabricació d'escombres, brotxes i raspalls"
,c. de Joaquín Costa,47,ESCODA,activitat_econòmica,"Fabricació d'escombres, brotxes i raspalls",41.5489,2.10335,,,,sabadellempresa.cat,HOSTAFRANCS,1,"c. de Joaquín Costa, 47 Bxs","Fabricació d'escombres, brotxes i raspalls"
,c. de Garcilaso,112,ESCOL.CORAL ST.JORDI,activitat_econòmica,Educació relacionada amb la cultura,41.5408,2.11196,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Garcilaso, 112 Bxs",Educació relacionada amb la cultura
,c. de Sant Oleguer,120,ESCOLA DE DANSA LA NAU,activitat_econòmica,Educació relacionada amb la cultura,41.5486,2.10908,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Oleguer, 120 Bxs",Educació relacionada amb la cultura
